Id,SalePrice
1461,118655.0
1462,157489.46875
1463,185016.953125
1464,193176.875
1465,196761.65625
1466,173966.984375
1467,174551.625
1468,162554.15625
1469,191117.75
1470,122728.6328125
1471,193394.390625
1472,95899.8671875
1473,97823.984375
1474,149748.828125
1475,122176.375
1476,359450.5
1477,259842.40625
1478,279477.3125
1479,269043.0
1480,484906.71875
1481,328906.3125
1482,206776.5625
1483,163606.75
1484,165108.03125
1485,173326.4375
1486,190942.671875
1487,335474.375
1488,227680.25
1489,205550.5
1490,212736.171875
1491,190699.375
1492,86485.078125
1493,202555.625
1494,312060.09375
1495,311466.03125
1496,239855.5625
1497,175660.46875
1498,157628.75
1499,158288.875
1500,146793.03125
1501,173687.3125
1502,142381.3125
1503,305370.9375
1504,241522.015625
1505,225302.765625
1506,186853.828125
1507,257027.328125
1508,200492.125
1509,166473.328125
1510,145045.75
1511,144223.390625
1512,170154.484375
1513,135188.9375
1514,172765.0
1515,199292.28125
1516,164980.859375
1517,158650.515625
1518,143636.171875
1519,217698.03125
1520,131477.1875
1521,131713.390625
1522,175801.25
1523,108001.484375
1524,117487.9921875
1525,118826.5546875
1526,124480.171875
1527,104691.6796875
1528,133969.265625
1529,155113.46875
1530,170001.53125
1531,94826.078125
1532,104554.5859375
1533,144957.53125
1534,125344.5546875
1535,153394.65625
1536,102684.3671875
1537,75490.7109375
1538,162371.171875
1539,195231.75
1540,89297.09375
1541,155003.15625
1542,138962.109375
1543,206624.78125
1544,73187.3359375
1545,109611.71875
1546,124397.8125
1547,127103.71875
1548,137877.921875
1549,105141.5390625
1550,137592.75
1551,117302.703125
1552,134930.671875
1553,163035.75
1554,117494.15625
1555,159544.046875
1556,78940.3671875
1557,100271.234375
1558,89185.6875
1559,84860.1015625
1560,132989.984375
1561,125211.09375
1562,131420.40625
1563,120538.3828125
1564,156486.0625
1565,150203.375
1566,247002.578125
1567,66717.2890625
1568,234670.0625
1569,141008.515625
1570,132647.09375
1571,127731.109375
1572,145095.421875
1573,266541.0
1574,118680.0078125
1575,214901.71875
1576,230595.765625
1577,195425.109375
1578,145177.359375
1579,146044.859375
1580,197421.59375
1581,146854.359375
1582,129130.328125
1583,317278.28125
1584,229002.296875
1585,144529.46875
1586,70929.078125
1587,104277.2578125
1588,146056.0
1589,102048.1484375
1590,133438.703125
1591,96588.5390625
1592,122808.25
1593,125049.1640625
1594,124783.5
1595,113577.1484375
1596,231492.109375
1597,202093.3125
1598,215130.15625
1599,183012.515625
1600,174054.109375
1601,69280.4296875
1602,104185.5078125
1603,66582.9140625
1604,272866.03125
1605,245334.109375
1606,166782.5625
1607,167029.59375
1608,218684.34375
1609,196946.203125
1610,144205.5
1611,131025.078125
1612,162037.1875
1613,160795.21875
1614,128293.6640625
1615,88912.828125
1616,71527.875
1617,92173.734375
1618,121762.1640625
1619,134218.515625
1620,171978.40625
1621,136083.015625
1622,135451.15625
1623,280965.03125
1624,208179.84375
1625,129040.5859375
1626,161041.984375
1627,184795.125
1628,279575.65625
1629,184966.5
1630,366321.625
1631,223715.375
1632,243005.078125
1633,166220.609375
1634,182566.25
1635,176522.484375
1636,155330.625
1637,206011.484375
1638,201175.109375
1639,186331.1875
1640,257879.8125
1641,189446.984375
1642,214105.546875
1643,222945.640625
1644,226975.875
1645,187041.5625
1646,158093.34375
1647,166856.0625
1648,132673.78125
1649,129756.203125
1650,123518.7578125
1651,120603.0078125
1652,95856.703125
1653,93703.875
1654,153186.1875
1655,146242.21875
1656,142232.703125
1657,154816.265625
1658,140679.296875
1659,128575.015625
1660,153950.546875
1661,433375.65625
1662,451237.1875
1663,393045.1875
1664,442415.34375
1665,306882.34375
1666,322879.8125
1667,300494.71875
1668,327978.53125
1669,296230.90625
1670,357085.8125
1671,251137.703125
1672,427010.5
1673,301437.59375
1674,235952.578125
1675,175495.375
1676,177636.734375
1677,209612.03125
1678,458988.34375
